Bronx Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,65,,A1,4455 PARK AVENUE,,10457,1,0,1,"1,622","1,587",1899,1,A1,"458,000",1/31/2020
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,67,,A1,4451 PARK AVENUE,,10457,1,0,1,"1,646","1,495",1899,1,A1,"475,000",7/23/2020
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,67,,A1,4451 PARK AVENUE,,10457,1,0,1,"1,646","1,495",1899,1,A1,"275,000",3/16/2020
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVENUE,,10458,1,0,1,"1,095","1,260",1910,1,A9,"110,000",12/6/2019
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVE,,10458,1,0,1,"1,095","1,260",1910,1,A9,"165,000",3/2/2020
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045,12,,A1,2052 BATHGATE AVENUE,,10457,1,0,1,"2,340","1,516",1910,1,A1,"289,000",8/25/2020
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,118,,B1,1540 WASHINGTON AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,6/24/2020
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,130,,B1,482 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,3/17/2020
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,149,,B1,523 EAST 171 STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,"505,000",11/14/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,131,,B1,1465 CROTONA PLACE,,10456,2,0,2,"1,900","2,394",1994,1,B1,0,8/27/2020
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3 AVENUE,,10457,2,0,2,"2,883","2,394",1995,1,B1,0,4/6/2020
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,128,,B1,559 CLAREMONT PARKWAY,,10457,2,0,2,"2,361","2,394",1995,1,B1,0,2/26/2020
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,"2,000","2,364",1899,1,B2,"365,000",11/21/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,"2,000","2,364",1899,1,B2,"734,000",4/22/2020
