Manhattan Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,390,61,,A4,189 EAST 7TH STREET,,10009,1,0,1,987,"2,183",1860,1,A4,0,9/25/2019
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,"2,381","3,084",1899,1,C0,"4,350,000",7/16/2020
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,393,9,,C0,604 EAST 11TH STREET,,10009,3,0,3,"2,375","5,110",1939,1,C0,0,10/24/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,375,28,,C4,738 EAST 6TH STREET,,10009,11,0,11,"1,750","6,500",1900,2,C4,0,9/11/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,376,23,,C3,"262 EAST 7TH STREET, 4",,10009,4,0,4,"2,059","4,154",1900,2,C3,"600,000",12/12/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,376,26,,C3,268 EAST 7TH STREET,,10009,4,0,4,"2,065","3,491",1900,2,C3,"4,350,000",10/31/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,28,,C4,272 EAST 7TH STREET,,10009,24,0,24,"2,764","13,206",1900,2,C4,1,6/26/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1B/2B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"290,000",2/7/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1C/1D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5A/6A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3C/D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4C",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5C",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,278 EAST 7TH STREET,,10009,19,0,19,"2,772","13,248",1920,2,C4,"1,269,168",12/19/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 6C",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 6B/6D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4D/5D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"125,375",3/13/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2C/D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,41,,C4,"745 EAST 6TH STREET, 3C",,10009,28,0,28,"4,542","18,254",1900,2,C4,"625,000",9/12/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,41,,C4,"745 EAST 6TH STREET, 2D",,10009,28,0,28,"4,542","18,254",1900,2,C4,"585,000",2/6/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,54,,C4,"719 EAST 6TH STREET, 5D",,10009,20,0,20,"2,302","9,750",1900,2,C4,"249,508",6/3/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,384,6,,C4,9 AVENUE B,,10009,8,1,9,"1,587","6,055",1900,2,C4,"1,250,000",6/16/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,384,7,,C7,11 AVENUE B,,10009,8,1,9,"1,586","6,000",1900,2,C7,"1,250,000",6/16/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390,50,,C1,"209 EAST 7TH STREET, 1W",,10009,29,0,29,"3,900","18,099",1900,2,C1,"220,000",11/5/2019
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,33,,C7,"155 AVENUE C, 5A",,10009,17,1,18,"1,909","8,441",1900,2,C7,"84,413",12/16/2019
